etf_name,isin,market,reference,region,esg_val,expenses_ratio
AMUNDI ETF CAC 40,LU1681046931,Euronext Paris & Tradegate,CAC 40,Europa,AA,0.25
L&G BATTERY VALUE-CHAIN UCITS ETF,IE00BF0M2Z96,Euronext Amsterdam & Tradegate,Solactive Battery Value-Chain NR USD,Mundial,A,0.49
iShares MSCI World Small Cap UCITS ETF USD Acc,IE00BF4RFH31,XETRA & Tradegate,MSCI World Small Cap Index,Mundial,A,0.35
iShares MSCI India UCITS ETF USD Acc,IE00BZCQB185,XETRA & Tradegate,XETRA & Tradegate,MSCI India NR USD,India,BBB
SPDR US TECH,IE00BWBXM948,Euronext Amsterdam & Tradegate,S&P Technology Select Sector Daily Capped 25/20 Index,Estados Unidos,AA,0.15
iShares Digital Security UCITS ETF USD Acc,IE00BG0J4C88,XETRA & Tradegate,STOXX Global Digital Security Index,Mundial,A,0.4
MULTI LY COMMO CRB,LU1829218749,Euronext Paris & Tradegate,Thomson Reuters/CoreCommodity CRB Total Return Index,Mundial,-,0.30
iShares El Vehicles and DrivTech UCITS ETF USD Acc,IE00BGL86Z12,XETRA & Tradegate,STOXX Global Electric Vehicles & Driving Technology NET Index,Mundial,A,0.4
iShares MSCI World SRI UCITS ETF EUR Acc,IE00BYX2JD69,XETRA & Tradegate,MSCI WORLD SRI Select Index,Mundial,AA,0.2
KRANE CSI INTERNET,IE00BFXR7892,Euronext Amsterdam,CSI Overseas China Internet Index,Asia,-,0.75
VanEck VideoGaming&eSports UCITS ETF USD A,IE00BYWQWR46,XETRA & Tradegate,MVIS Global Video Gaming and eSports Index,Mundial,A,0.55
Vanguard FTSE All-World UCITS ETF - (USD) Accumulating,IE00BK5BQT80,XETRA & Tradegate,FTSE Developed All Cap ex Controversies/Non-Renewable Energy/Vice Products/Weapons Index Net EUR,Mundial,A,0.22
WISDOMTREE CLOUD COMPU,IE00BJGWQN72,Tradegate,BVP Nasdaq Emerging Cloud NTR Index,Mundial,A,0.4
RIZE SUSTAINABLE FOOD,IE00BLRPQH31,Euronext Amsterdam & Tradegate,Foxberry Tem Res Sus Future NR USD,Mundial,AA,0.45
VANECK SEMICOND,IE00BMC38736,Tradegate,MVIS US Listed Semicond 10%Capped TR USD,Mundial,AA,0.35
L&G Hydrogen Economy ETF USD Acc,IE00BMYDM794,Tradegate,Solactive Hydrogen Economy NR USD,Mundial,A,0.49
iShares MSCI Global Semiconductors ETF Acc,IE000I8KRLL9,Euronext Amsterdam,MSCI ACWI IMI Semiconductors & Semiconductor Equipment Select ESG Screened Capped Index,Mundial,AA,0.35
WisdomTree Cybersecurity ETF - USD Acc,IE00BLPK3577,Tradegate,WisdomTree Team8 Cybersecurity USD,Mundial,A,0.45
VanEck Hydrogen Economy ETF A USD,IE00BMDH1538,Tradegate,MVIS Global Hydrogen Economy ESG NR USD,Mundial,A,0.55
VanEck Crypto & Blockchain Innovators ETF,IE00BMDKNW35,Tradegate,MVIS Global Digital Assets Equity NR USD,Mundial,-,0.65
Vanguard ESG Global All Cap ETF USD Acc,IE00BNG8L278,Euronext Amsterdam & Tradegate,FTSE Global All Cap Choice TR USD,Mundial,A,0.24
Invesco Global Clean Energy ETF Acc,IE00BLRB0242,Tradegate,WilderHill NewEnergy GLB Innovate TR USD,Mundial,A,0.6
iShares FTSE MIB ETF EUR Acc,IE00B53L4X51,Tradegate,FTSE MIB NR EUR,Europa,AA,0.33
